Date&Time,shortDate
2014-05-04T14:45:00Z,2014-05-04
2014-03-16T14:09:00Z,2014-03-16
2014-02-06T19:13:00Z,2014-02-06
2014-02-06T19:12:00Z,2014-02-06
2014-02-06T13:11:00Z,2014-02-06
2014-02-06T13:09:00Z,2014-02-06
2014-01-28T03:41:00Z,2014-01-28
2014-01-25T13:45:00Z,2014-01-25
2014-01-25T13:41:00Z,2014-01-25
2014-01-25T11:07:00Z,2014-01-25
2013-12-31T01:16:00Z,2013-12-31
2013-12-30T19:13:00Z,2013-12-30
2013-12-18T10:45:00Z,2013-12-18
2013-12-10T11:37:00Z,2013-12-10
2013-11-25T02:57:00Z,2013-11-25
2013-11-03T10:56:00Z,2013-11-03
2013-10-19T22:05:00Z,2013-10-19
2013-09-30T19:32:00Z,2013-09-30
2013-09-30T18:00:00Z,2013-09-30
2013-09-30T17:45:00Z,2013-09-30
2013-09-30T17:41:00Z,2013-09-30
2013-09-27T07:46:00Z,2013-09-27
2013-09-21T04:07:00Z,2013-09-21
2013-06-28T20:06:00Z,2013-06-28
2013-05-03T19:21:00Z,2013-05-03
2013-05-03T08:42:00Z,2013-05-03
2013-05-02T19:08:00Z,2013-05-02
2013-05-02T19:06:00Z,2013-05-02
2013-04-13T19:29:00Z,2013-04-13
2013-03-27T05:18:00Z,2013-03-27
2013-03-18T22:20:00Z,2013-03-18
2013-03-06T08:28:00Z,2013-03-06
2013-02-28T14:22:00Z,2013-02-28
2013-02-27T13:54:00Z,2013-02-27
2013-02-19T05:42:00Z,2013-02-19
2013-02-15T22:24:00Z,2013-02-15
2013-02-06T01:51:00Z,2013-02-06
2012-12-12T20:36:00Z,2012-12-12
2012-10-31T20:37:00Z,2012-10-31
2012-10-12T18:53:00Z,2012-10-12
2012-09-23T10:58:00Z,2012-09-23
2012-09-23T10:58:00Z,2012-09-23
2012-09-05T20:01:00Z,2012-09-05
2012-09-05T20:01:00Z,2012-09-05
2012-08-31T15:08:00Z,2012-08-31
2012-08-14T18:49:00Z,2012-08-14
2012-07-29T16:01:00Z,2012-07-29
2012-07-27T21:16:00Z,2012-07-27
2012-07-26T01:22:00Z,2012-07-26
2012-07-25T17:26:00Z,2012-07-25
2012-07-16T14:10:00Z,2012-07-16
2012-07-15T21:44:00Z,2012-07-15
2012-07-15T21:41:00Z,2012-07-15
2012-06-24T12:43:00Z,2012-06-24
2012-05-10T05:31:00Z,2012-05-10
2012-05-10T05:26:00Z,2012-05-10
2012-05-10T05:20:00Z,2012-05-10
2012-04-07T01:14:00Z,2012-04-07
2012-03-18T18:38:00Z,2012-03-18
2012-03-18T18:37:00Z,2012-03-18
2012-03-13T00:14:00Z,2012-03-13
2012-03-13T00:13:00Z,2012-03-13
2012-02-13T15:33:00Z,2012-02-13
2012-02-13T05:54:00Z,2012-02-13
2012-02-13T05:51:00Z,2012-02-13
2012-02-01T07:13:00Z,2012-02-01
2012-02-01T07:12:00Z,2012-02-01
2011-12-29T14:46:00Z,2011-12-29
2011-12-29T14:03:00Z,2011-12-29
2011-12-28T13:22:00Z,2011-12-28
2011-12-20T04:12:00Z,2011-12-20
2011-12-03T20:26:00Z,2011-12-03
2011-10-17T22:35:00Z,2011-10-17
2011-10-12T00:28:00Z,2011-10-12
2011-10-12T00:27:00Z,2011-10-12
2011-10-11T12:07:00Z,2011-10-11
2011-10-10T21:58:00Z,2011-10-10
2011-09-12T21:59:00Z,2011-09-12
2011-09-12T21:59:00Z,2011-09-12
2011-08-30T22:15:00Z,2011-08-30
2011-08-30T22:15:00Z,2011-08-30
2011-08-30T22:14:00Z,2011-08-30
2011-08-30T22:14:00Z,2011-08-30
2011-08-07T00:15:00Z,2011-08-07
2011-08-07T00:11:00Z,2011-08-07
