Benutzer,Date_Time,Time,Date
S.Didam,2014-02-06T19:13:00Z,19:13,6.02.2014
S.Didam,2014-02-06T19:12:00Z,19:12,6.02.2014
Cekay,2014-02-06T13:11:00Z,13:11,6.02.2014
Cekay,2014-02-06T13:09:00Z,13:09,6.02.2014
Rax,2014-01-28T03:41:00Z,03:41,28.01.2014
188.103.250.200,2014-01-25T13:45:00Z,13:45,25.01.2014
188.103.250.200,2014-01-25T13:41:00Z,13:41,25.01.2014
176.198.220.212,2014-01-25T11:07:00Z,11:07,25.01.2014
TotalUseless,2013-12-31T01:16:00Z,01:16,31.12.2013
TotalUseless,2013-12-30T19:13:00Z,19:13,30.12.2013
Amagra,2013-12-18T10:45:00Z,10:45,18.12.2013
193.175.253.250,2013-12-10T11:37:00Z,11:37,10.12.2013
79.239.96.141,2013-11-25T02:57:00Z,02:57,25.11.2013
Phlixx,2013-11-03T10:56:00Z,10:56,3.11.2013
Cholo Aleman,2013-10-19T22:05:00Z,22:05,19.10.2013
B.A.Enz,2013-09-30T19:32:00Z,19:32,30.09.2013
Herbert81,2013-09-30T18:00:00Z,18:00,30.09.2013
Wnme,2013-09-30T17:45:00Z,17:45,30.09.2013
Herbert81,2013-09-30T17:41:00Z,17:41,30.09.2013
Prüm,2013-09-27T07:46:00Z,07:46,27.09.2013
Miltrak,2013-09-21T04:07:00Z,04:07,21.09.2013
BurghardRichter,2013-06-28T20:06:00Z,20:06,28.06.2013
Herbert81,2013-05-03T19:21:00Z,19:21,3.05.2013
Tunc,2013-05-03T08:42:00Z,08:42,3.05.2013
Herbert81,2013-05-02T19:08:00Z,19:08,2.05.2013
Herbert81,2013-05-02T19:06:00Z,19:06,2.05.2013
188.73.187.211,2013-04-13T19:29:00Z,19:29,13.04.2013
89.245.37.17,2013-03-27T05:18:00Z,05:18,27.03.2013
Naddy,2013-03-18T22:20:00Z,22:20,18.03.2013
Neun-x,2013-03-06T08:28:00Z,08:28,6.03.2013
EmausBot,2013-02-28T14:22:00Z,14:22,28.02.2013
MorbZ-Bot,2013-02-27T13:54:00Z,13:54,27.02.2013
EmausBot,2013-02-19T05:42:00Z,05:42,19.02.2013
Uweka,2013-02-15T22:24:00Z,22:24,15.02.2013
HaraldKnill,2013-02-06T01:51:00Z,01:51,6.02.2013
ZéroBot,2012-12-12T20:36:00Z,20:36,12.12.2012
Chaddy,2012-10-31T20:37:00Z,20:37,31.10.2012
Polemos,2012-10-12T18:53:00Z,18:53,12.10.2012
82.218.12.176,2012-09-23T10:58:00Z,10:58,23.09.2012
82.218.12.176,2012-09-23T10:58:00Z,10:58,23.09.2012
88.64.99.28,2012-09-05T20:01:00Z,20:01,5.09.2012
88.64.99.28,2012-09-05T20:01:00Z,20:01,5.09.2012
JYBot,2012-08-31T15:08:00Z,15:08,31.08.2012
